GenBank accession	TaxID	Organism	Description	Length	Phylum	Class	Order	Family	Genus	Genetic code	GC%	Percentage genome with GC50
CP019506.1	1365886	Zygosaccharomyces parabailii	Zygosaccharomyces parabailii strain ATCC 60483 mitochondrion, complete genome	29945	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces	3	26.5963	2.01005
MG602717.1	36066	Cantharellus cibarius	Cantharellus cibarius isolate s75 mitochondrion, complete genome	56786	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	4	26.4709	0
NC_028330.1	468837	Lecanicillium saksenae	Lecanicillium saksenae mitochondrion, complete genome	25919	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Lecanicillium	4	26.4651	0
MH252531.1	1869158	Ganoderma sp.	Ganoderma sp. mitochondrion, complete genome	57232	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	4	26.4567	0
NC_040166.1	1069201	Aspergillus luchuensis	Aspergillus luchuensis mitochondrion, complete genome	31228	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	4	26.4391	0
AP012272.1	1033177	Aspergillus kawachii IFO 4308	Aspergillus kawachii IFO 4308 mitochondrial DNA, complete sequence	31222	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	4	26.4391	0
NC_009905.1	5322	Pleurotus ostreatus	Pleurotus ostreatus mitochondrion, complete genome	73242	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	4	26.3511	1.63934
FQ859090.1	1109443	Serendipita indica DSM 11827	Piriformospora indica DSM 11827 mitochondrial complete genome	63682	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	4	26.305	0
MK111108.1	1715249	Scytalidium sp.	Scytalidium sp. isolate chengchen mitochondrion, complete genome	96857	Ascomycota	Leotiomycetes	Scytalidium			4	26.3028	0
NC_033533.1	5323	Pleurotus eryngii	Pleurotus eryngii mitochondrion, complete genome	72650	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	4	26.2948	1.8595
NC_042413.1	2054620	Phlyctis petraea	Phlyctis petraea voucher 49648 mitochondrion, complete genome	49698	Ascomycota	Lecanoromycetes	Phlyctidaceae	Phlyctis		4	26.2941	0
NC_013809.1	5486	Candida viswanathii	Candida viswanathii mitochondrion, complete genome	39242	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	26.2861	0
NC_029759.1	1802957	Cairneyella variabilis	Cairneyella variabilis isolate VPRI 42388 mitochondrion, complete genome	27186	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Cairneyella	4	26.2799	0
NC_030636.1	38006	Beauveria caledonica	Beauveria caledonica isolate fhr1 mitochondrion, complete genome	38316	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	4	26.2431	0
JQ355000.1	5059	Aspergillus flavus	UNVERIFIED: Aspergillus flavus strain NRRL 3357 mitochondrial sequence	29205	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	4	26.2199	0
NC_042947.1	383872	Dactylella tenuis	Dactylella tenuis mitochondrion, complete genome	186056	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Dactylella	4	26.2108	0.322581
MK110677.1	218633	Cordyceps cicadae	Cordyceps cicadae strain ARSEF 11726 mitochondrion, complete genome	49138	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	4	26.1896	0
NC_018100.1	1160506	Aspergillus oryzae 3.042	Aspergillus oryzae 3.042 mitochondrion, complete genome	29192	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	4	26.1821	0
NC_006077.1	28985	Kluyveromyces lactis	Kluyveromyces lactis mitochondrion, complete genome	40291	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	4	26.1791	0.373134
NC_041445.1	5067	Aspergillus parasiticus	Aspergillus parasiticus mitochondrion, complete genome	29141	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	4	26.1753	0
NC_006836.1	64495	Rhizopus oryzae	Rhizopus oryzae mitochondrion, complete genome	54178	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	NA	26.1717	0.554017
NC_041248.1	47238	Drechslerella brochopaga	Drechslerella brochopaga mitochondrion, complete genome	193195	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Drechslerella	4	26.1699	0.1554
KY352472.1	5062	Aspergillus oryzae	Aspergillus oryzae culture ATCC:44194 mitochondrion, complete genome	29202	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	4	26.1684	0
JQ354998.1	5062	Aspergillus oryzae	Aspergillus oryzae strain RIB40 mitochondrion, partial genome	29202	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	4	26.1684	0
NC_026782.1	154344	Ganoderma meredithae	Ganoderma meredithae strain CGMCC5.766 mitochondrion, complete genome	78447	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	4	26.1609	0
NC_041489.1	218633	Cordyceps cicadae	Cordyceps cicadae strain CCAD02 mitochondrion, complete genome	56581	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	4	26.1238	0
JX855937.1	42068	Pneumocystis jirovecii	Pneumocystis jirovecii isolate Pj_R68 mitochondrion, complete genome	33690	Ascomycota	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae	Pneumocystis	4	26.1101	0
NC_026534.1	1610689	Sarocladium implicatum	Acremonium implicatum mitochondrion, complete genome	22376	Ascomycota	Sordariomycetes	Hypocreales	Sarocladiaceae	Sarocladium	4	26.1074	0
NC_044132.1	1873960	Pseudocercospora fijiensis	Pseudocercospora fijiensis isolate 081012 mitochondrion, complete genome	74089	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Pseudocercospora	4	26.0473	0
KM595068.2	48254	Torulaspora globosa	Torulaspora globosa strain CBS 764 mitochondrion, complete genome	36879	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	3	26.0299	0.408163
NC_042771.1	196114	Taiwanofungus camphoratus	Taiwanofungus camphoratus mitochondrion, complete genome	114922	Basidiomycota	Agaricomycetes	Polyporales	Taiwanofungus		4	26.0113	0.652742
MG704281.1	2037899	Gamarada debralockiae	UNVERIFIED: Gamarada debralockiae isolate T6G9 mitochondrion sequence	28168	Ascomycota	Leotiomycetes	Helotiales	Gamarada		4	25.9537	0
NC_022162.1	497107	Candida oxycetoniae	Candida oxycetoniae strain AS2.3656 mitochondrion, complete genome	62593	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	25.9297	0
NW_008751656.1	858893	Exophiala dermatitidis NIH/UT8656	Exophiala dermatitidis NIH/UT8656 mitochondrion, whole genome shotgun sequence	26004	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	4	25.9152	0
MK820635.1	47238	Drechslerella brochopaga	Drechslerella brochopaga mitochondrion, complete genome	280699	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Drechslerella	4	25.8389	0.213789
AP019407.1	5098	Monascus purpureus	Monascus purpureus GB-01 mitochondrial DNA, complete sequence	27264	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Monascus	4	25.8379	0
NC_032302.1	37998	Parengyodontium album	Parengyodontium album voucher ATCC:56482 mitochondrion, complete genome	28081	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Parengyodontium	4	25.836	0
NC_022152.1	694444	Candida saraburiensis	Candida saraburiensis strain KU-Xs13 mitochondrion, complete genome	32135	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	25.8193	0
KY245891.1	370292	Thelephora ganbajun	Thelephora ganbajun isolate P2 mitochondrion, complete genome	52857	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	4	25.7386	0
NC_022168.1	39397	Candida sake	Candida sake strain CBS 159 mitochondrion, complete genome	26205	Ascomycota	Saccharomycetes	Saccharomycetales	Candida		4	25.7356	0
NC_039355.1	2283411	Pertusaria propinqua	Pertusaria propinqua mitochondrion, complete genome	79765	Ascomycota	Lecanoromycetes	Pertusariales	Pertusariaceae	Pertusaria	4	25.72	0
NC_045196.1	87325	Amanita bisporigera	Amanita bisporigera mitochondrion, complete genome	76761	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	4	25.6843	0.391389
MK038875.1	5065	Aspergillus sp.	Aspergillus sp. strain Aspp_1 mitochondrion, complete genome	31374	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	4	25.6555	0
MH010441.1	42068	Pneumocystis jirovecii	Pneumocystis jirovecii isolate GR5_full mitochondrion, complete genome	35048	Ascomycota	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae	Pneumocystis	4	25.6481	0
NC_037757.1	104198	Cantharellus lutescens	Cantharellus lutescens isolate s144 mitochondrion, complete genome	80736	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	4	25.5514	0.185874
NC_022155.1	45586	Candida santjacobensis	Candida santjacobensis strain CBS 8183 mitochondrion, complete genome	64525	Ascomycota	Saccharomycetes	Saccharomycetales	Candida		4	25.5473	0
MH010440.1	42068	Pneumocystis jirovecii	Pneumocystis jirovecii isolate GR11b_full mitochondrion, complete genome	35339	Ascomycota	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae	Pneumocystis	4	25.5461	0
NC_017016.1	746128	Aspergillus fumigatus	Aspergillus fumigatus mitochondrion, complete genome	30696	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	4	25.5457	0
MF979820.1	5400	Agrocybe aegerita	Agrocybe aegerita cultivar SWS_17 mitochondrion, complete genome	116329	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Agrocybe	4	25.5441	0
MH015348.1	2488734	Arthonia susa	Arthonia susa voucher 3981 mitochondrion, complete genome	50798	Ascomycota	Arthoniomycetes	Arthoniales	Arthoniaceae	Arthonia	4	25.5424	0
NC_030172.1	60169	Penicillium polonicum	Penicillium polonicum mitochondrion, complete genome	28192	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	4	25.533	0
MH010438.1	42068	Pneumocystis jirovecii	Pneumocystis jirovecii isolate CH26_full mitochondrion, complete genome	35473	Ascomycota	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae	Pneumocystis	4	25.5226	0
MH010446.1	42068	Pneumocystis jirovecii	Pneumocystis jirovecii isolate SW7_full mitochondrion, complete genome	35597	Ascomycota	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae	Pneumocystis	4	25.5049	0
JX855938.1	42068	Pneumocystis jirovecii	Pneumocystis jirovecii isolate Pj_1368 mitochondrion, complete genome	35517	Ascomycota	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae	Pneumocystis	4	25.5	0
NC_016187.1	60172	Penicillium solitum	Penicillium solitum mitochondrion, complete genome	28601	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	4	25.4912	0
JX855936.1	42068	Pneumocystis jirovecii	Pneumocystis jirovecii isolate Pj_WI mitochondrion, complete genome	35634	Ascomycota	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae	Pneumocystis	4	25.4852	0
CM004524.1	86049	Cladophialophora carrionii	Cladophialophora carrionii strain KSF mitochondrion, complete sequence, whole genome shotgun sequence	26795	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	4	25.4831	0
NC_020331.1	42068	Pneumocystis jirovecii	Pneumocystis jirovecii mitochondrion, complete genome	35626	Ascomycota	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae	Pneumocystis	4	25.4712	0
JQ346808.1	746128	Aspergillus fumigatus	Aspergillus fumigatus strain AF293 mitochondrion, complete genome	31765	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	4	25.4534	0
JQ354995.1	36630	Aspergillus fischeri	UNVERIFIED: Neosartorya fischeri strain NRRL 181 mitochondrial sequence	34373	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	4	25.4469	0
NC_037938.1	2026244	Ganoderma calidophilum	Ganoderma calidophilum mitochondrion, complete genome	124588	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	4	25.4386	0
KR952336.1	229535	Penicillium nordicum	Penicillium nordicum strain UASWS BFE487 mitochondrion, partial genome	28520	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	4	25.4386	0
KP722497.1	73501	Cordyceps militaris	Cordyceps militaris isolate CMA mitochondrion, partial genome	13246	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	4	25.4318	0
JQ346809.1	746128	Aspergillus fumigatus	Aspergillus fumigatus strain AF210 mitochondrion, complete genome	31762	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	4	25.4281	0
NC_027416.1	5082	Penicillium roqueforti	Penicillium roqueforti strain UASWS P1 mitochondrion, complete genome	29908	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	4	25.3936	0
NC_015080.1	36651	Penicillium digitatum	Penicillium digitatum mitochondrion, complete genome	28978	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	4	25.361	0
MH460534.1	28995	Pleurotus pulmonarius	UNVERIFIED: Pleurotus pulmonarius mitochondrion sequence	68305	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	4	25.3597	0
CM001645.1	1170229	Penicillium digitatum PHI26	Penicillium digitatum PHI26 mitochondrion, whole genome shotgun sequence	28977	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	4	25.3575	0
CM001644.1	1170230	Penicillium digitatum Pd1	Penicillium digitatum Pd1 mitochondrion, whole genome shotgun sequence	28970	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	4	25.3541	0
JQ062880.1	273372	Candida metapsilosis	Candida metapsilosis strain CP376 mitochondrion, partial genome	23642	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	25.3503	0
NC_027433.1	4950	Torulaspora delbrueckii	Torulaspora delbrueckii strain CBS 5448 mitochondrion, complete genome	28793	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	3	25.3159	2.6178
NC_039443.1	117010	Tricholomella constricta	Tricholomella constricta strain TC01ssc01 mitochondrion, complete genome	65087	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Tricholomella	4	25.3102	0.692841
NC_034332.1	301477	Coccocarpia palmicola	Coccocarpia palmicola voucher NY:45953 mitochondrion, complete genome	73992	Ascomycota	Lecanoromycetes	Peltigerales	Coccocarpiaceae	Coccocarpia	4	25.3009	0
MK550697.1	1814903	Dactylella sp.	Dactylella sp. strain YMF1.01838 mitochondrion, complete genome	190642	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Dactylella	4	25.2856	0.0787402
LT594370.1	273371	Candida orthopsilosis	Candida orthopsilosis partial mitochondrial genome, strain Sample_434	21769	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	3	25.269	0
NC_036610.1	369263	Hirsutella vermicola	Hirsutella vermicola isolate AS3.7877 mitochondrion, complete genome	53793	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Hirsutella	4	25.2644	0
LT594353.1	273371	Candida orthopsilosis	Candida orthopsilosis partial mitochondrial genome, strain 90-125	21629	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	3	25.2639	0
MG596520.1	28995	Pleurotus pulmonarius	UNVERIFIED: Pleurotus pulmonarius mitochondrion sequence	70674	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	4	25.2626	0.212314
LT594356.1	273371	Candida orthopsilosis	Candida orthopsilosis partial mitochondrial genome, strain Sample_1799	21847	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	3	25.2598	0
AB568600.1	29908	Sporothrix schenckii	Sporothrix schenckii mitochondrial DNA, complete genome, strain: KMU2052	26095	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Sporothrix	4	25.2524	0
NC_026920.1	5059	Aspergillus flavus	Aspergillus flavus strain TCM2014 mitochondrion, complete genome	31602	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	4	25.2254	0
NC_041448.1	661577	Orbilia dorsalis	Orbilia dorsalis strain 1835 mitochondrion, complete genome	191042	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	4	25.193	0
NC_025570.1	40382	Aspergillus ustus	Aspergillus ustus strain 3.3904 mitochondrion, complete genome	33007	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	4	25.1667	0
NC_026869.1	224420	Shiraia bambusicola	Shiraia bambusicola mitochondrion, complete genome	39030	Ascomycota	Dothideomycetes	Pleosporales	Shiraia		4	25.1641	0
KX931017.1	1909432	Penicillium sp. ShG4C	Penicillium sp. ShG4C mitochondrion, complete genome	26725	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	4	25.1386	0
LT594374.1	273371	Candida orthopsilosis	Candida orthopsilosis partial mitochondrial genome, strain Sample_498	21671	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	3	25.1065	0
NC_006971.1	273372	Candida metapsilosis	Candida metapsilosis mitochondrion, complete genome	24152	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	25.0932	0
LT594354.1	273371	Candida orthopsilosis	Candida orthopsilosis partial mitochondrial genome, strain Sample_151	23083	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	3	25.0719	0
NC_015923.1	29908	Sporothrix schenckii	Sporothrix schenckii mitochondrion, complete genome	27125	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Sporothrix	4	25.0519	0
LT594377.1	273371	Candida orthopsilosis	Candida orthopsilosis partial mitochondrial genome, strain Sample_748	23035	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	3	25.0458	0
NC_006972.1	273371	Candida orthopsilosis	Candida orthopsilosis mitochondrion, complete genome	22528	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	25.0311	0
LT594357.1	273371	Candida orthopsilosis	Candida orthopsilosis partial mitochondrial genome, strain Sample_1825	23050	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	3	25.024	0
JQ354999.1	5057	Aspergillus clavatus	Aspergillus clavatus strain NRRL 1 mitochondrion, partial genome	35056	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	4	25.0157	0
NC_044740.1	167356	Inonotus obliquus	Inonotus obliquus NBRC113408 mitochondrial DNA, complete genome	119110	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Inonotus	4	25.0076	0.125945
KM595075.1	4950	Torulaspora delbrueckii	Torulaspora delbrueckii strain CBS 1146 mitochondrion, complete genome	31444	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	3	25.0048	0.478469
NC_041246.1	13349	Arthrobotrys oligospora	Arthrobotrys oligospora mitochondrion, complete genome	160613	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Arthrobotrys	4	24.9763	0
NC_017896.1	227321	Aspergillus nidulans FGSC A4	Aspergillus nidulans FGSC A4 mitochondrion, complete genome	33227	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	4	24.9321	0
JQ354994.1	28564	Talaromyces stipitatus	Talaromyces stipitatus strain ATCC 10500 mitochondrion, partial genome	36351	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	4	24.9311	0
MG579954.1	28995	Pleurotus pulmonarius	UNVERIFIED: Pleurotus pulmonarius strain X1-15 mitochondrion sequence	73435	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	4	24.9093	0.408998
NC_035254.1	522482	Esteya vermicola	Esteya vermicola culture CBS:115803 mitochondrion, complete genome	46507	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Esteya	4	24.8559	0
NC_006626.1	381046	Lachancea thermotolerans	Kluyveromyces thermotolerans mitochondrion, complete genome	23584	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	3	24.8153	0
LK392296.1	381046	Lachancea thermotolerans	Lachancea thermotolerans complete mitochondrial genome, strain CBS 1877	23611	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	3	24.8025	0
LT594366.1	273371	Candida orthopsilosis	Candida orthopsilosis partial mitochondrial genome, strain Sample_426	24325	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	3	24.7942	0
NC_034928.1	1486872	Leptogium hirsutum	Leptogium hirsutum voucher 46937 mitochondrion, complete genome	120920	Ascomycota	Lecanoromycetes	Peltigerales	Collemataceae	Leptogium	4	24.7725	0.124069
JQ354996.1	5076	Penicillium chrysogenum	UNVERIFIED: Penicillium chrysogenum strain Wisconsin 54-1255 mitochondrial sequence	27017	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	4	24.7222	0
NC_022173.1	497110	Candida blackwelliae	Candida blackwellae strain AS2.3639 mitochondrion, complete genome	32053	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	24.6385	0
JQ354997.1	37727	Talaromyces marneffei	UNVERIFIED: Penicillium marneffei strain ATCC 18224 mitochondrial sequence	35432	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	4	24.6384	0
NC_005256.1	37727	Talaromyces marneffei	Talaromyces marneffei mitochondrion, complete genome	35438	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	4	24.6356	0
KU761331.1	37727	Talaromyces marneffei	Talaromyces marneffei strain PM20 mitochondrion, complete genome	35438	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	4	24.6215	0
KU761332.1	37727	Talaromyces marneffei	Talaromyces marneffei strain PM26 mitochondrion, complete genome	35434	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	4	24.6186	0
MK633967.1	47236	Arthrobotrys musiformis	Arthrobotrys musiformis isolate YMF1.03753 mitochondrion, complete genome	184443	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Arthrobotrys	4	24.6037	0
NC_022154.1	4929	Meyerozyma guilliermondii	Meyerozyma guilliermondii strain CBS 2030 mitochondrion, complete genome	31070	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Meyerozyma	4	24.5894	0
NC_030600.1	89940	Cladophialophora bantiana	Cladophialophora bantiana mitochondrion, complete genome	26821	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	4	24.588	0
NC_041444.1	47236	Arthrobotrys musiformis	Arthrobotrys musiformis isolate YMF1.03721 mitochondrion, complete genome	179060	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Arthrobotrys	4	24.5834	0
HE983610.1	1230904	Lachancea sp. PJ-2012a	Lachancea sp. PJ-2012a complete mitochondrial genome, strain CBS6924	25658	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	3	24.5809	0
NC_045194.1	67725	Amanita pseudoporphyria	Amanita pseudoporphyria mitochondrion, complete genome	52733	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	4	24.5679	0.2849
MG020143.1	170179	Ophiostoma novo-ulmi subsp. novo-ulmi	Ophiostoma novo-ulmi subsp. novo-ulmi mitochondrion, complete genome	65095	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Ophiostoma	4	24.5635	0
NC_045200.1	67723	Amanita phalloides	Amanita phalloides mitochondrion, complete genome	101106	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	4	24.5569	0
NC_012830.1	119676	Nannizzia nana	Arthroderma obtusum mitochondrion, complete genome	24105	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Nannizzia	4	24.5	0
DQ026513.2	273371	Candida orthopsilosis	Candida orthopsilosis strain MCO471 mitochondrion, complete genome	25281	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	24.4841	0
MK633966.1	47236	Arthrobotrys musiformis	Arthrobotrys musiformis isolate YMF1.01900 mitochondrion, complete genome	174085	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Arthrobotrys	4	24.4592	0
NC_013933.1	575983	Trametes cingulata	Trametes cingulata mitochondrion, complete genome	91500	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	4	24.4554	0
NC_011133.1	148634	Candida neerlandica	Candida neerlandica mitochondrion, complete genome	32141	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	24.3956	0
CM008827.1	1246581	Paramicrosporidium saccamoebae	Paramicrosporidium saccamoebae strain KSL3 mitochondrion, complete sequence, whole genome shotgun sequence	25401	Cryptomycota	Paramicrosporidium				4	24.2801	0
NC_022169.1	1198502	Candida theae	Candida theae strain G-17 mitochondrion, complete genome	26234	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	24.2797	0
FJ754025.1	273371	Candida orthopsilosis	Candida orthopsilosis mitochondrion, partial genome	26251	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	24.2743	0
NC_036378.1	27294	Kazachstania unispora	Kazachstania unispora strain Y-1556 mitochondrion, complete genome	29129	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	3	24.2405	0.515464
NC_012832.1	63405	Microsporum canis	Microsporum canis mitochondrion, complete genome	23943	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Microsporum	4	24.1761	0
JQ062881.1	5480	Candida parapsilosis	Candida parapsilosis strain GA1 mitochondrion, partial genome	31531	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	4	24.1587	0
NC_037239.1	5327	Trametes hirsuta	Trametes hirsuta strain 072 mitochondrion, complete genome	59039	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	4	24.0814	0
MG592681.1	523103	Trichophyton mentagrophytes	Trichophyton mentagrophytes strain TIMM 2789 mitochondrion, complete genome	24287	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	4	24.0787	0
NC_004312.1	4899	Schizosaccharomyces octosporus	Schizosaccharomyces octosporus mitochondrion, complete genome	44227	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	4	24.0703	0
NC_012826.1	523103	Trichophyton mentagrophytes	Trichophyton mentagrophytes mitochondrion, complete genome	24297	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	4	24.0497	0
NC_034349.1	186125	Fomitopsis palustris	Fomitopsis palustris mitochondrial DNA, complete sequence, strain: FFPRI 0507	63479	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Fomitopsis	4	24.0221	0
